date,mois,heure_depart,course,hippodrome,num,nom,proba,place,rapport_place,gain
2021-01-01,2021-01,1609505880000,R1C1,VINCENNES,7,HE AND ME,0.702991642471153,1,1.8,1.8
2021-01-01,2021-01,1609508160000,R1C2,VINCENNES,6,GAROU DU CHENE,0.8476587246145497,1,1.1,1.1
2021-01-01,2021-01,1609510500000,R1C3,VINCENNES,8,DOUX PARFUM,0.6963091007197361,0,,0.0
2021-01-01,2021-01,1609512600000,R1C4,VINCENNES,8,GOELAND D'HAUFOR,0.8017543921333184,1,1.3,1.3
2021-01-01,2021-01,1609514760000,R1C5,VINCENNES,13,GALIUS,0.7096233096460661,0,,0.0
2021-01-01,2021-01,1609516800000,R1C6,VINCENNES,8,FALCO BERRY,0.6897637869569307,1,1.3,1.3
2021-01-01,2021-01,1609519080000,R1C7,VINCENNES,5,INOUBLIABLE,0.8482157306851935,1,1.1,1.1
2021-01-01,2021-01,1609499100000,R3C1,CAGNES/MER,1,MORGENSTERN,0.6786749492117792,1,1.1,1.1
2021-01-01,2021-01,1609500900000,R3C2,CAGNES/MER,3,MANSIONSA,0.7907714488847805,0,,0.0
2021-01-01,2021-01,1609504800000,R3C4,CAGNES/MER,2,GEORGE FLASH,0.6323700467202147,1,2.1,2.1
2021-01-01,2021-01,1609506900000,R3C5,CAGNES/MER,13,BLAIN,0.6745381215701172,1,1.3,1.3
2021-01-01,2021-01,1609509120000,R3C6,CAGNES/MER,1,ON YOUR MARKS,0.6478559376017688,0,,0.0
2021-01-01,2021-01,1609511520000,R3C7,CAGNES/MER,5,CURLY BASC,0.8671156377727589,1,1.1,1.1
2021-01-02,2021-01,1609592280000,R1C1,VINCENNES,5,HERMINE DE RHEVE,0.7541386356912407,1,1.3,1.3
2021-01-02,2021-01,1609594380000,R1C2,VINCENNES,6,HELIOS DU GOUTIER,0.8325063966050962,1,1.2,1.2
2021-01-02,2021-01,1609596900000,R1C3,VINCENNES,13,DIABLE DE VAUVERT,0.7334963260094003,1,1.4,1.4
2021-01-02,2021-01,1609599000000,R1C4,VINCENNES,7,BRILLANT MADRIK,0.8056953223136063,1,1.5,1.5
2021-01-02,2021-01,1609601100000,R1C5,VINCENNES,5,GOUT BAROQUE,0.6311460148205834,1,1.5,1.5
2021-01-02,2021-01,1609603200000,R1C6,VINCENNES,8,FAUVE BERRY,0.8075132460223401,1,1.2,1.2
2021-01-02,2021-01,1609605300000,R1C7,VINCENNES,11,GENTLY DE MUZE,0.8009865695586202,1,1.3,1.3
2021-01-02,2021-01,1609607400000,R1C8,VINCENNES,8,FLAMBOYANT DU RIB,0.7311746199317318,0,,0.0
2021-01-02,2021-01,1609609500000,R1C9,VINCENNES,5,INFANT PERRINE,0.7137047194410611,1,1.6,1.6
2021-01-02,2021-01,1609584600000,R2C3,PONT DE VIVAUX,12,FIESTA JULRY,0.6463592502797805,1,1.8,1.8
2021-01-02,2021-01,1609586400000,R2C4,PONT DE VIVAUX,7,FILS DU LARGE,0.6154432886996796,0,,0.0
2021-01-02,2021-01,1609583700000,R3C1,DEAUVILLE,5,BELLANODINE,0.7299086533968027,1,2.0,2.0
2021-01-02,2021-01,1609585500000,R3C2,DEAUVILLE,2,ADELPHIE,0.7872830651646471,1,,0.0
2021-01-02,2021-01,1609587420000,R3C3,DEAUVILLE,1,MILORD'S SONG,0.7490061263996288,1,1.2,1.2
2021-01-02,2021-01,1609589100000,R3C4,DEAUVILLE,7,VEGA MAGIC,0.7027379498750849,0,,0.0
2021-01-02,2021-01,1609593300000,R3C6,DEAUVILLE,2,LAYLA,0.6050799502717534,0,,0.0
2021-01-02,2021-01,1609602120000,R4C1,LA CEPIERE,7,FORREST D'EM,0.6342876708286989,1,1.9,1.9
2021-01-02,2021-01,1609604220000,R4C2,LA CEPIERE,3,HISTORIA KAT,0.7355120703818737,0,,0.0
2021-01-02,2021-01,1609610400000,R4C5,LA CEPIERE,3,FURIOUS BEY,0.6007194657447361,0,,0.0
2021-01-02,2021-01,1609614000000,R4C7,LA CEPIERE,7,GENTIANE DU MONT,0.6086258509168008,1,2.4,2.4
2021-01-02,2021-01,1609615800000,R4C8,LA CEPIERE,14,HERA DAIRPET,0.648662099407849,1,2.1,2.1
2021-01-03,2021-01,1609676580000,R1C1,VINCENNES,8,GINKO DU ROUSSOIR,0.6938214580730873,1,1.8,1.8
2021-01-03,2021-01,1609678680000,R1C2,VINCENNES,15,DUSTY WOOD,0.7444425090467749,1,2.7,2.7
2021-01-03,2021-01,1609680780000,R1C3,VINCENNES,7,GHALIE DU GOUTIER,0.8693856614983934,1,1.3,1.3
2021-01-03,2021-01,1609683300000,R1C4,VINCENNES,9,FACE TIME BOURBON,0.9156060075324642,1,1.1,1.1
2021-01-03,2021-01,1609685460000,R1C5,VINCENNES,4,DICK DES MALBERAUX,0.8082677742414488,1,1.3,1.3
2021-01-03,2021-01,1609689600000,R1C7,VINCENNES,4,HAVE SEVEN,0.9046308997909079,1,1.1,1.1
2021-01-03,2021-01,1609693800000,R1C9,VINCENNES,4,GAIA DE GUERINIERE,0.804323163723015,1,1.2,1.2
2021-01-03,2021-01,1609668300000,R3C1,DEAUVILLE,1,SILVER QUARTZ,0.7853887955106388,1,1.1,1.1
2021-01-03,2021-01,1609677720000,R3C6,DEAUVILLE,1,BUGLE MAJOR,0.7572789905737761,1,1.1,1.1
2021-01-03,2021-01,1609686420000,R4C1,MAUQUENCHY,4,HEUREUX DE VOUEDE,0.7364172597007741,1,1.5,1.5
2021-01-03,2021-01,1609688520000,R4C2,MAUQUENCHY,2,HATCHICA DU DOME,0.6230042441341368,1,1.6,1.6
2021-01-03,2021-01,1609690620000,R4C3,MAUQUENCHY,2,FLOWER BY MAGALOU,0.744561433589849,1,1.5,1.5
2021-01-03,2021-01,1609692720000,R4C4,MAUQUENCHY,9,FRESCATY D'ICELEA,0.6090238265432021,1,2.6,2.6
2021-01-03,2021-01,1609694700000,R4C5,MAUQUENCHY,14,FAKIR DE PUCH,0.6919469458378188,1,2.1,2.1
2021-01-03,2021-01,1609700100000,R4C8,MAUQUENCHY,11,HAPPY STAR DRY,0.8682871846471913,1,1.2,1.2
2021-01-03,2021-01,1609679100000,R6C2,CAGNES/MER,4,TOSCARELLA,0.7054693308046895,0,,0.0
2021-01-03,2021-01,1609686000000,R7C7,LE BOUSCAT,4,DEFI DE LA BASLE,0.6136245238431195,0,,0.0
