mois,courses,gain_ordre,gain_des,mise
2021-01,31,0.0,991.1999999999999,31
2021-02,28,0.0,42.5,28
2021-03,31,0.0,27.6,31
2021-04,30,0.0,0.0,30
2021-05,31,36159.0,632.3,31
2021-06,30,0.0,11.2,30
2021-07,31,0.0,12.4,31
2021-08,31,0.0,0.0,31
2021-09,30,0.0,12.3,30
2021-10,31,0.0,9.1,31
2021-11,30,0.0,0.0,30
2021-12,31,25590.9,370.2,31
2022-01,31,0.0,120.3,31
2022-02,28,0.0,10.2,28
2022-03,31,0.0,0.0,31
2022-04,29,0.0,3.6,29
2022-05,31,0.0,29.1,31
2022-06,30,0.0,0.0,30
2022-07,31,0.0,151.0,31
2022-08,31,0.0,0.0,31
2022-09,30,0.0,16.4,30
2022-10,31,0.0,1.9,31
2022-11,30,0.0,16.7,30
2022-12,31,0.0,0.0,31
2023-01,31,0.0,48.5,31
2023-02,28,0.0,42.2,28
2023-03,31,0.0,12.0,31
2023-04,30,0.0,34.7,30
2023-05,31,0.0,0.0,31
2023-06,30,0.0,44.0,30
2023-07,31,0.0,5.2,31
2023-08,31,0.0,0.0,31
2023-09,30,0.0,0.0,30
2023-10,31,0.0,0.0,31
2023-11,30,0.0,499.90000000000003,30
2023-12,31,0.0,7.2,31
2024-01,31,0.0,0.0,31
2024-02,29,0.0,70.4,29
2024-03,31,0.0,5.7,31
2024-04,30,0.0,0.0,30
2024-05,31,0.0,3.7,31
2024-06,30,0.0,2.1,30
2024-07,31,0.0,0.0,31
2024-08,31,0.0,198.2,31
2024-09,30,0.0,10.6,30
2024-10,31,0.0,0.0,31
2024-11,29,0.0,81.8,29
2024-12,31,0.0,107.5,31
2025-01,31,0.0,2275.2,31
2025-02,28,0.0,0.0,28
2025-03,31,0.0,0.0,31
2025-04,30,0.0,0.0,30
2025-05,31,0.0,17.0,31
2025-06,30,0.0,155.1,30
2025-07,31,0.0,54.8,31
2025-08,31,0.0,1193.5,31
2025-09,30,0.0,5.9,30
2025-10,31,0.0,0.0,31
2025-11,30,0.0,0.0,30
2025-12,31,0.0,1732.8,31
2026-01,31,0.0,933.1,31
2026-02,28,0.0,214.0,28
2026-03,30,0.0,30.1,30
2026-04,30,0.0,1.4,30
2026-05,31,0.0,1909.5,31
2026-06,30,0.0,212.2,30
2026-07,14,0.0,0.0,14
